Unique ID,Monolayer (C2DB),Interlayer distance,Formula,Binding energy,Slide stability,mat_link,Magnetic,2D Bravais type,Band gap,COD id of parent bulk structure,ICSD id of parent bulk structure,Inversion symmetry,Layer group,Layer group number,Number of atoms,Monolayer ID,Number of layers,Number of species,Point group,Reduced formula,Stoichiometry,Structure origin,Thickness,Unit cell area,param1,param2,param3,param4,paramIz,param5,param6,Monolayer band gap,mat_name,stable,mono_name,param7
As2-2cfe371476fd-As2-2-1_-1_1_0-0.17_0.33,2As-1,3.258,As4,15.53,Unstable,https://bidb.fysik.dtu.dk/material/2As-1-As2-2-1_-1_1_0-0.17_0.33,No,,,5000219.0,,No,cm2e,36,4,As2-2cfe371476fd,2,1,,As,A,original24,6.05,11.271,1,-1,1,0,0,1.0,0.17,1.483197543,2As-1-As2-2-1_-1_1_0-0.17_0.33,0,2As-1,0.33
As2-2cfe371476fd-As2-2-1_-1_1_0-0.5_0,2As-1,3.656,As4,12.627,Unverified,https://bidb.fysik.dtu.dk/material/2As-1-As2-2-1_-1_1_0-0.5_0,No,,,5000219.0,,No,cm11,13,4,As2-2cfe371476fd,2,1,,As,A,original24,6.448,11.271,1,-1,1,0,0,1.0,0.5,1.483197543,2As-1-As2-2-1_-1_1_0-0.5_0,2,2As-1,0
As2-2cfe371476fd-As2-2-1_-1_1_0-0.67_0.33,2As-1,3.984,As4,10.633,Unverified,https://bidb.fysik.dtu.dk/material/2As-1-As2-2-1_-1_1_0-0.67_0.33,No,,,5000219.0,,No,p-6m2,78,4,As2-2cfe371476fd,2,1,,As,A,original24,6.777,11.271,1,-1,1,0,0,1.0,0.67,1.483197543,2As-1-As2-2-1_-1_1_0-0.67_0.33,2,2As-1,0.33
As2-2cfe371476fd-As2-2-1_-1_1_0-0_0,2As-1,3.094,As4,17.127,Stable,https://bidb.fysik.dtu.dk/material/2As-1-As2-2-1_-1_1_0-0_0,No,,,5000219.0,,No,p3m1,69,4,As2-2cfe371476fd,2,1,,As,A,original24,5.886,11.271,1,-1,1,0,0,1.0,0,1.483197543,2As-1-As2-2-1_-1_1_0-0_0,1,2As-1,0
As2-2cfe371476fd-As2-2-1_0_0_1-0.33_0.67,2As-1,3.93,As4,10.989,Unverified,https://bidb.fysik.dtu.dk/material/2As-1-As2-2-1_0_0_1-0.33_0.67,No,,,5000219.0,,Yes,p-3m1,72,4,As2-2cfe371476fd,2,1,,As,A,original24,6.722,11.271,1,0,0,1,0,1.0,0.33,1.483197543,2As-1-As2-2-1_0_0_1-0.33_0.67,2,2As-1,0.67
As2-2cfe371476fd-As2-2-1_0_0_1-0.5_0,2As-1,3.656,As4,12.618,Unverified,https://bidb.fysik.dtu.dk/material/2As-1-As2-2-1_0_0_1-0.5_0,No,,,5000219.0,,Yes,c2/m11,18,4,As2-2cfe371476fd,2,1,,As,A,original24,6.448,11.271,1,0,0,1,0,1.0,0.5,1.483197543,2As-1-As2-2-1_0_0_1-0.5_0,2,2As-1,0
As2-2cfe371476fd-As2-2-1_0_0_1-0.67_0.33,2As-1,3.305,As4,15.365,Stable,https://bidb.fysik.dtu.dk/material/2As-1-As2-2-1_0_0_1-0.67_0.33,No,,,5000219.0,,Yes,p-3m1,72,4,As2-2cfe371476fd,2,1,,As,A,original24,6.097,11.271,1,0,0,1,0,1.0,0.67,1.483197543,2As-1-As2-2-1_0_0_1-0.67_0.33,1,2As-1,0.33
As2-2cfe371476fd-As2-2-1_0_0_1-0.83_0.67,2As-1,3.359,As4,14.921,Unstable,https://bidb.fysik.dtu.dk/material/2As-1-As2-2-1_0_0_1-0.83_0.67,No,,,5000219.0,,Yes,c2/m11,18,4,As2-2cfe371476fd,2,1,,As,A,original24,6.152,11.271,1,0,0,1,0,1.0,0.83,1.483197543,2As-1-As2-2-1_0_0_1-0.83_0.67,0,2As-1,0.67
As2-2cfe371476fd-As2-2-1_0_0_1-0_0,2As-1,3.242,As4,16.657,Stable,https://bidb.fysik.dtu.dk/material/2As-1-As2-2-1_0_0_1-0_0,No,,,5000219.0,,Yes,p-3m1,72,4,As2-2cfe371476fd,2,1,,As,A,original24,6.034,11.271,1,0,0,1,0,1.0,0,1.483197543,2As-1-As2-2-1_0_0_1-0_0,1,2As-1,0
C2-a6735a4a3797-2-1_0_0_1--0.67_-0.33,2C-1,3.516,C4,16.709,Stable,https://bidb.fysik.dtu.dk/material/2C-1-2-1_0_0_1--0.67_-0.33,No,,0.0,9012705.0,96620.0,Yes,p-3m1,72,4,C2-a6735a4a3797,2,1,,C,A,original24,3.516,5.272,1,0,0,1,0,1.0,-0.67,0.000300069,2C-1-2-1_0_0_1--0.67_-0.33,1,2C-1,-0.33
