Unique ID,Monolayer (C2DB),Interlayer distance,Formula,Binding energy,Slide stability,mat_link,Magnetic,2D Bravais type,Band gap,COD id of parent bulk structure,ICSD id of parent bulk structure,Inversion symmetry,Layer group,Layer group number,Number of atoms,Monolayer ID,Number of layers,Number of species,Point group,Reduced formula,Stoichiometry,Structure origin,Thickness,Unit cell area,param1,param2,param3,param4,paramIz,param5,param6,Monolayer band gap,mat_name,stable,mono_name,param7
Cr2S4-45828f7c9596-2--1_0_0_-1--0.5_-0.5,Cr2S4-45828f7c9596,3.476,Cr4S8,15.292,Unverified,https://bidb.fysik.dtu.dk/material/2CrS2-1-2--1_0_0_-1--0.5_-0.5,No,,,,,No,pm2m,27,12,Cr2S4-45828f7c9596,2,2,,CrS2,AB2,original24,10.009,16.451,-1,0,0,-1,0,1.0,-0.5,0.0,2CrS2-1-2--1_0_0_-1--0.5_-0.5,2,Cr2S4-45828f7c9596,-0.5
Cr2S4-45828f7c9596-2--1_0_0_-1--0.5_-0.77,Cr2S4-45828f7c9596,2.849,Cr4S8,21.761,Unstable,https://bidb.fysik.dtu.dk/material/2CrS2-1-2--1_0_0_-1--0.5_-0.77,No,,,,,No,pm11,11,12,Cr2S4-45828f7c9596,2,2,,CrS2,AB2,original24,9.382,16.451,-1,0,0,-1,0,1.0,-0.5,0.0,2CrS2-1-2--1_0_0_-1--0.5_-0.77,0,Cr2S4-45828f7c9596,-0.77
Cr2S4-45828f7c9596-2--1_0_0_-1--0.5_-0.91,Cr2S4-45828f7c9596,2.645,Cr4S8,24.843,Stable,https://bidb.fysik.dtu.dk/material/2CrS2-1-2--1_0_0_-1--0.5_-0.91,No,,0.0,,,No,pm11,11,12,Cr2S4-45828f7c9596,2,2,,CrS2,AB2,original24,9.178,16.451,-1,0,0,-1,0,1.0,-0.5,0.0,2CrS2-1-2--1_0_0_-1--0.5_-0.91,1,Cr2S4-45828f7c9596,-0.91
Cr2S4-45828f7c9596-2--1_0_0_-1-0.5_0.02,Cr2S4-45828f7c9596,2.66,Cr4S8,24.764,Unstable,https://bidb.fysik.dtu.dk/material/2CrS2-1-2--1_0_0_-1-0.5_0.02,No,,,,,No,pm11,11,12,Cr2S4-45828f7c9596,2,2,,CrS2,AB2,original24,9.192,16.451,-1,0,0,-1,0,1.0,0.5,0.0,2CrS2-1-2--1_0_0_-1-0.5_0.02,0,Cr2S4-45828f7c9596,0.02
Cr2S4-45828f7c9596-2--1_0_0_-1-0.5_0,Cr2S4-45828f7c9596,2.656,Cr4S8,24.755,Unstable,https://bidb.fysik.dtu.dk/material/2CrS2-1-2--1_0_0_-1-0.5_0,No,,,,,No,pm2_1b,28,12,Cr2S4-45828f7c9596,2,2,,CrS2,AB2,original24,9.188,16.451,-1,0,0,-1,0,1.0,0.5,0.0,2CrS2-1-2--1_0_0_-1-0.5_0,0,Cr2S4-45828f7c9596,0.0
Cr2S4-45828f7c9596-2--1_0_0_-1-0_-0.62,Cr2S4-45828f7c9596,2.882,Cr4S8,20.938,Unverified,https://bidb.fysik.dtu.dk/material/2CrS2-1-2--1_0_0_-1-0_-0.62,No,,,,,No,pm11,11,12,Cr2S4-45828f7c9596,2,2,,CrS2,AB2,original24,9.415,16.451,-1,0,0,-1,0,1.0,0.0,0.0,2CrS2-1-2--1_0_0_-1-0_-0.62,2,Cr2S4-45828f7c9596,-0.62
Cr2S4-45828f7c9596-2--1_0_0_-1-0_-0.9,Cr2S4-45828f7c9596,3.108,Cr4S8,19.424,Unverified,https://bidb.fysik.dtu.dk/material/2CrS2-1-2--1_0_0_-1-0_-0.9,No,,,,,No,pm11,11,12,Cr2S4-45828f7c9596,2,2,,CrS2,AB2,original24,9.641,16.451,-1,0,0,-1,0,1.0,0.0,0.0,2CrS2-1-2--1_0_0_-1-0_-0.9,2,Cr2S4-45828f7c9596,-0.9
Cr2S4-45828f7c9596-2--1_0_0_-1-0_0.5,Cr2S4-45828f7c9596,3.011,Cr4S8,19.469,Unverified,https://bidb.fysik.dtu.dk/material/2CrS2-1-2--1_0_0_-1-0_0.5,No,,,,,No,pm2a,31,12,Cr2S4-45828f7c9596,2,2,,CrS2,AB2,original24,9.544,16.451,-1,0,0,-1,0,1.0,0.0,0.0,2CrS2-1-2--1_0_0_-1-0_0.5,2,Cr2S4-45828f7c9596,0.5
Cr2S4-45828f7c9596-2-1_0_0_1--0.5_-0.12,Cr2S4-45828f7c9596,3.437,Cr4S8,15.668,Unverified,https://bidb.fysik.dtu.dk/material/2CrS2-1-2-1_0_0_1--0.5_-0.12,No,,,,,Yes,p2/m11,14,12,Cr2S4-45828f7c9596,2,2,,CrS2,AB2,original24,9.97,16.451,1,0,0,1,0,1.0,-0.5,0.0,2CrS2-1-2-1_0_0_1--0.5_-0.12,2,Cr2S4-45828f7c9596,-0.12
Cr2S4-45828f7c9596-2-1_0_0_1--0.5_-0.4,Cr2S4-45828f7c9596,2.966,Cr4S8,20.095,Unverified,https://bidb.fysik.dtu.dk/material/2CrS2-1-2-1_0_0_1--0.5_-0.4,No,,,,,Yes,p2/m11,14,12,Cr2S4-45828f7c9596,2,2,,CrS2,AB2,original24,9.498,16.451,1,0,0,1,0,1.0,-0.5,0.0,2CrS2-1-2-1_0_0_1--0.5_-0.4,2,Cr2S4-45828f7c9596,-0.4
