Band gap,j_twist_angle,j_num_atoms,j_max_strain,j_interlayer_distance,mono_name1,mono_name2,mat_name,l_a,l_b,l_c,l_alpha,l_beta,l_gamma
0.018,7.763,105,0.967,5.305,2C-1,1ZnI2-1,1Zn11I22C72-1,13.061955588684702,14.9960861881598,21.268043495312167,90.0,90.0,104.46415160408773
1.122,6.588,93,0.494,6.701,1MoS2-1,1AsBrTe-1,1As12Br12Te12Mo19S38-1,13.777336236877671,13.777451484874604,24.460037397354142,90.0,90.0,119.99963854009874
0.456,6.591,93,0.705,6.625,1WS2-1,1AsBrTe-1,1As12Br12Te12W19S38-1,13.806342103130856,13.806357654002086,24.476632568924984,90.0,90.0,119.99991003919648
1.024,6.588,93,0.447,6.526,1MoS2-1,1ClSbSe-1,1Cl12Sb12Se12Mo19S38-1,13.820060222867806,13.820058241222146,24.39672007349828,90.0,90.0,119.99949144247657
0.238,6.586,93,0.252,6.521,1WS2-1,1ClSbSe-1,1Cl12Sb12Se12W19S38-1,13.847259075697185,13.84727340763507,24.41331524506912,90.0,90.0,119.99970524909065
0.086,6.589,93,0.533,6.663,1MoSe2-1,1ClSbTe-1,1Cl12Sb12Te12Mo19Se38-1,14.390158439042382,14.39039888516784,24.68123399553508,90.0,90.0,119.99934820416043
0.0,6.591,93,0.605,6.672,1WSe2-1,1ClSbTe-1,1Cl12Sb12Te12W19Se38-1,14.379704306819095,14.379700470610155,24.705102979756283,90.0,90.0,119.99995178499762
0.403,21.055,98,0.558,5.027,1BN-1,1ClSbSe-1,1Cl12Sb12Se12B31N31-1,13.959569759442887,13.959584958481768,21.262202980098785,90.0,90.0,119.9997459433466
0.867,16.102,100,0.053,7.187,2HSi-1,2InSe-1,2In12Se12H13Si13-1,14.012812032859511,14.012812034877669,27.08528599729044,90.0,90.0,120.00000709446306
1.309,16.102,75,0.152,6.608,1MoSe2-1,1WS2-1,1Mo12W13Se24S26-1,11.432209091713105,11.432205948935268,24.499084260833012,90.0,90.0,120.0000303720122
0.757,16.101,75,0.956,6.593,1MoTe2-1,1PtSe2-1,1Pt12Mo13Se24Te26-1,12.791153220576327,12.792255224645057,24.27829485728198,90.0,90.0,119.99060754622505
0.448,16.102,75,0.898,6.6,1WTe2-1,1PtSe2-1,1Pt12W13Se24Te26-1,12.781989008851642,12.782556268492682,24.29695443463684,90.0,90.0,119.99846609203236
0.658,16.102,75,0.039,6.627,1MoS2-1,1WSe2-1,1W12Mo13Se24S26-1,11.410614827068704,11.410613592890519,24.50635807348338,90.0,90.0,119.99997168365583
1.662,6.587,74,0.178,5.018,1BN-1,1MoS2-1,1Mo12B19N19S24-1,10.947695777468166,10.947765351660522,21.134517093399495,90.0,90.0,119.99962453265243
1.641,6.587,74,0.349,5.032,1BN-1,1WS2-1,1W12B19N19S24-1,10.957929797369882,10.957935769642235,21.151112264970337,90.0,90.0,119.99992978600639
1.642,6.588,93,0.356,6.559,1MoS2-1,1CdBr2-1,1Cd12Mo19Br24S38-1,13.814843895711995,13.814850831161085,24.31906545451688,90.0,90.0,119.99944133466504
1.624,6.587,93,0.155,6.572,1WS2-1,1CdBr2-1,1Cd12W19Br24S38-1,13.842758979043714,13.842817772365903,24.335660626087723,90.0,90.0,119.99981346396167
1.368,6.588,93,0.359,7.018,1MoSe2-1,1MgI2-1,1Mg12Mo19I24Se38-1,14.379252900251037,14.379325317012839,24.72073016639783,90.0,90.0,119.99869683315987
1.293,6.589,93,0.428,7.038,1WSe2-1,1MgI2-1,1Mg12W19I24Se38-1,14.369254112343288,14.369417850059445,24.744599150619035,90.0,90.0,119.99848399346229
0.0,6.59,93,0.905,6.259,1MoTe2-1,1WO2-1,1Mo12W19Te24O38-1,12.284231734831584,12.285063339461708,24.102126141541984,90.0,90.0,119.99644783336808
0.0,6.586,93,0.183,7.128,1MoTe2-1,1PbBr2-1,1Pb12Mo19Br24Te38-1,15.329753089313547,15.3298497565437,25.015656438354394,90.0,90.0,119.99925633617056
0.0,6.587,93,0.21,7.131,1WTe2-1,1PbBr2-1,1Pb12W19Br24Te38-1,15.325514402654452,15.325522552409124,25.034316015709255,90.0,90.0,119.99982606014544
